Name,Team,Team_Info,Pitching_Type
임찬규,LG,25+LP,우투
켈리,LG,24LP,우투
플럿코,LG,23LP,우투
김진성,LG,25+LP,우투
최원태,LG,24+LP,우투
유영찬,LG,24+LP,우투
치리노스,LG,25+LP,우투
백승현,LG,25+LP,우투
에르난데스,LG,25+LP,우투
이정용,LG,23LP,우투
고우석,LG,23LP,우투
박명근,LG,25+LP,우언
최동환,LG,24+LP,우투
이종준,LG,24+LP,우투
장현식,LG,25+LP,우투
이지강,LG,25+LP,우투
김영우,LG,25+LP,우투
김강률,LG,25+LP,우투
우강훈,LG,25+LP,우언
이상규,LG,23+LP,우투
윤호솔,LG,24LP,우투
진우영,LG,24+LP,우투
코엔 윈,LG,25+LP,우투
이민호,LG,23LP,우투
성동현,LG,25+LP,우투
김진수,LG,24+LP,우투
송은범,LG,23+LP,우투
채지선,LG,23NP,우투
오석주,LG,23+LP,우투
배재준,LG,25+LP,우투
김주온,LG,25+LP,우투
김대현,LG,24+LP,우투
김동규,LG,23+키P,우투
강효종,LG,24LP,우투
이믿음,LG,24LP,우투
김영준,LG,24+LP,우투
정지헌,LG,24+LP,우언
정우영,LG,24+LP,우언
손주영,LG,25+LP,좌투
엔스,LG,24LP,좌투
함덕주,LG,24+LP,좌투
김윤식,LG,24LP,좌투
송승기,LG,25+LP,좌투
김유영,LG,25+LP,좌투
이상영,LG,24LP,좌투
이우찬,LG,25+LP,좌투
임준형,LG,24+LP,좌투
진해수,LG,23+LP,좌투
최성훈,LG,23+LP,좌투
원태인,삼성,25+삼P,우투
뷰캐넌,삼성,23삼P,우투
코너,삼성,24삼P,우투
레예스,삼성,25+삼P,우투
후라도,삼성,25+삼P,우투
수아레즈,삼성,23삼P,우투
임창민,삼성,25+삼P,우투
김태훈,삼성,25+삼P,우투
최지광,삼성,24+삼P,우투
이승현,삼성,25+삼P,좌투
김재윤,삼성,25+삼P,우투
오승환,삼성,24+삼P,우투
황동재,삼성,24+삼P,우투
와이드너,삼성,23삼P,우투
최원태,삼성,25+삼P,우투
이호성,삼성,25+삼P,우투
김대우,삼성,24+삼P,우언
이재희,삼성,25+삼P,우투
송은범,삼성,25+삼P,우투
육선엽,삼성,25+삼P,우투
문용익,삼성,23+삼P,우투
우규민,삼성,23+삼P,우언
홍원표,삼성,24+삼P,우투
양현,삼성,24+삼P,우언
박권후,삼성,23삼P,우투
김서준,삼성,23삼P,우투
최충연,삼성,23+삼P,우투
김시현,삼성,23삼P,우투
김대호,삼성,25+삼P,우투
정민성,삼성,25+삼P,우투
김윤수,삼성,24+삼P,우투
양창섭,삼성,25+삼P,우투
최하늘,삼성,24+삼P,우언
장필준,삼성,24+삼P,우투
홍정우,삼성,24삼P,우투
백정현,삼성,25+삼P,좌투
이상민,삼성,24+삼P,좌투
최성훈,삼성,24+삼P,좌투
배찬승,삼성,25+삼P,좌투
최채흥,삼성,24+삼P,좌투
박세웅,삼성,23삼P,좌투
이승민,삼성,25+삼P,좌투
허윤동,삼성,23삼P,좌투
노건우,삼성,23삼P,좌투
이재익,삼성,24+삼P,좌투
노경은,SSG,25+SP,우투
앤더슨,SSG,25+SP,우투
조병현,SSG,25+SP,우투
문승원,SSG,25+SP,우투
서진용,SSG,25+SP,우투
송영진,SSG,25+SP,우투
화이트,SSG,25+SP,우투
이로운,SSG,25+SP,우투
박종훈,SSG,25+SP,우언
시라카와,SSG,24두P,우투
박민호,SSG,24SP,우언
김민,SSG,25+SP,우투
이건욱,SSG,24+SP,우투
박성빈,SSG,24+SP,우투
서동민,SSG,23SP,우투
조성훈,SSG,23+SP,우투
김주한,SSG,23SP,우언
서상준,SSG,23SP,우투
장지훈,SSG,24+SP,우투
최현석,SSG,25+SP,우투
정동윤,SSG,25+SP,우투
최민준,SSG,25+SP,우투
신헌민,SSG,24+SP,우투
김주온,SSG,24+SP,우투
더거,SSG,24SP,우투
김광현,SSG,25+SP,좌투
엘리아스,SSG,24SP,좌투
오원석,SSG,24+SP,좌투
맥카티,SSG,23SP,좌투
한두솔,SSG,25+SP,좌투
고효준,SSG,24+SP,좌투
이기순,SSG,24SP,좌투
백승건,SSG,24+SP,좌투
박시후,SSG,25+SP,좌투
김건우,SSG,25+SP,좌투
김택형,SSG,24+SP,좌투
임준섭,SSG,23SP,좌투
정성곤,SSG,23SP,좌투
박세웅,롯데,25+롯P,우투
윌커슨,롯데,24롯P,우투
김원중,롯데,25+롯P,우투
나균안,롯데,25+롯P,우투
한현희,롯데,24+롯P,우언
김상수,롯데,25+롯P,우투
최준용,롯데,24+롯P,우투
스트레일리,롯데,23롯P,우투
김강현,롯데,25+롯P,우투
박진,롯데,25+롯P,우투
구승민,롯데,25+롯P,우투
전미르,롯데,24롯P,우투
김도규,롯데,24+롯P,우투
석상호,롯데,23롯P,우투
정성종,롯데,23롯P,우투
이진하,롯데,23롯P,우투
김창훈,롯데,23롯P,우투
정우준,롯데,25+롯P,우투
박진형,롯데,25+롯P,우투
박영완,롯데,23롯P,우투
이민석,롯데,25+롯P,우투
진승현,롯데,24+롯P,우투
정철원,롯데,25+롯P,우투
우강훈,롯데,24+롯P,우언
나원탁,롯데,23롯P,우투
신정락,롯데,23롯P,우언
윤성빈,롯데,24+롯P,우투
박시영,롯데,25+롯P,우투
현도훈,롯데,24+롯P,우투
박세현,롯데,25+롯P,우투
박준우,롯데,25+롯P,우투
최영환,롯데,23롯P,우투
최이준,롯데,24롯P,우투
문경찬,롯데,23롯P,우투
이인복,롯데,24롯P,우투
윤명준,롯데,23롯P,우투
반즈,롯데,25+롯P,좌투
데이비슨,롯데,25+롯P,좌투
김진욱,롯데,25+롯P,좌투
정현수,롯데,25+롯P,좌투
심재민,롯데,23+롯P,좌투
임준섭,롯데,24롯P,좌투
김태욱,롯데,23롯P,좌투
홍민기,롯데,24+롯P,좌투
장세진,롯데,23롯P,좌투
진해수,롯데,24+롯P,좌투
송재영,롯데,25+롯P,좌투
이태연,롯데,23롯P,좌투
쿠에바스,KT,25+KP,우투
고영표,KT,25+KP,우언
엄상백,KT,24+KP,우언
박영현,KT,25+KP,우투
손동현,KT,25+KP,우투
김재윤,KT,23+KP,우투
배제성,KT,23KP,우투
소형준,KT,25+KP,우투
우규민,KT,25+KP,우언
김민,KT,24+KP,우투
김민수,KT,25+KP,우투
이상동,KT,24+KP,우투
원상현,KT,25+KP,우투
육청명,KT,24+KP,우투
이선우,KT,24+KP,우언
슐서,KT,23KP,우투
주권,KT,25+KP,우투
박시영,KT,24+KP,우투
김영현,KT,24KP,우투
조이현,KT,25+KP,우투
최동환,KT,25+KP,우투
김정운,KT,23KP,우언
강건,KT,25+KP,우투
이채호,KT,25+KP,우언
한차현,KT,24+KP,우투
문용익,KT,25+KP,우투
벤자민,KT,24KP,좌투
오원석,KT,25+KP,좌투
헤이수스,KT,25+KP,좌투
전용주,KT,24+KP,좌투
하준호,KT,24KP,좌투
조현우,KT,23KP,좌투
박세진,KT,24+KP,좌투
성재헌,KT,24+KP,좌투
심재민,KT,23+롯P,좌투
김태오,KT,23+KP,좌투
곽빈,두산,24+두P,우투
알칸타라,두산,24두P,우투
최원준,두산,25+두P,우언
김택연,두산,25+두P,우투
홍건희,두산,24+두P,우투
김강률,두산,24+두P,우투
김동주,두산,24두P,우투
발라조빅,두산,24두P,우투
최준호,두산,25+두P,우투
김민규,두산,25+두P,우투
박치국,두산,25+두P,우언
최지강,두산,25+두P,우투
박신지,두산,25+두P,우투
이영하,두산,25+두P,우투
홍민규,두산,25+두P,우투
시라카와,두산,24두P,우투
최종인,두산,25+두P,우투
정철원,두산,24+두P,우투
박정수,두산,25+두P,우언
김도윤,두산,24+두P,우투
딜런,두산,23두P,우투
박소준,두산,24두P,우투
권휘,두산,24+두P,우투
제환유,두산,23+두P,우투
이승진,두산,23+두P,우투
고봉재,두산,23두P,우언
김유성,두산,25+두P,우투
김명신,두산,25+두P,우투
김정우,두산,25+두P,우투
이형범,두산,23+두P,우투
브랜든,두산,24두P,좌투
최승용,두산,25+두P,좌투
이병헌,두산,25+두P,좌투
콜어빈,두산,25+두P,좌투
잭로그,두산,25+두P,좌투
백승우,두산,23두P,좌투
장원준,두산,23두P,좌투
박지호,두산,24+두P,좌투
고효준,두산,25+두P,좌투
이원재,두산,23두P,좌투
이교훈,두산,24+두P,좌투
김호준,두산,25+두P,좌투
문동주,한화,25+한P,우투
주현상,한화,25+한P,우투
페냐,한화,24한P,우투
와이스,한화,25+한P,우투
폰세,한화,25+한P,우투
김서현,한화,25+한P,우투
바리아,한화,24한P,우투
이태양,한화,25+한P,우투
한승혁,한화,25+한P,우투
박상원,한화,25+한P,우투
이민우,한화,24+한P,우투
윤대경,한화,24+한P,우투
장시환,한화,24+한P,우투
장민재,한화,24+한P,우투
엄상백,한화,25+한P,우언
김규연,한화,24+한P,우투
김종수,한화,25+한P,우투
정우주,한화,25+한P,우투
김민우,한화,24+한P,우투
이상규,한화,25+한P,우투
김승일,한화,25+한P,우언
스미스,한화,23한P,우투
류원석,한화,23한P,우언
배민서,한화,24+한P,우언
류희운,한화,23한P,우투
한승주,한화,24한P,우투
김도빈,한화,24+한P,우투
윤산흠,한화,23한P,우투
남지민,한화,24한P,우투
박준영,한화,23한P,우투
김재영,한화,23한P,우언
박윤철,한화,23한P,우투
장지수,한화,24+한P,우투
강재민,한화,23한P,우언
류현진,한화,25+한P,좌투
산체스,한화,24한P,좌투
황준서,한화,24+한P,좌투
김기중,한화,24+한P,좌투
조동욱,한화,25+한P,좌투
김범수,한화,25+한P,좌투
정우람,한화,24한P,좌투
권민규,한화,25+한P,좌투
송윤준,한화,23한P,좌투
이충호,한화,24한P,좌투
후라도,키움,24+키P,우투
안우진,키움,23키P,우투
최원태,키움,23+LP,우투
하영민,키움,25+키P,우투
임창민,키움,23+키P,우투
주승우,키움,25+키P,우투
정찬헌,키움,24키P,우투
조상우,키움,24+키P,우투
김성진,키움,23키P,우투
김인범,키움,24+키P,우투
장재영,키움,23+키P,우투
김동욱,키움,24키P,우투
양지율,키움,25+키P,우투
김윤하,키움,25+키P,우투
손힘찬,키움,25+키P,우투
이준우,키움,25+키P,우투
김준형,키움,23키P,우투
박승주,키움,24키P,우투
박윤성,키움,25+키P,우투
홍성민,키움,23키P,우언
오상원,키움,23키P,우투
김태훈,키움,23+삼P,우투
박주성,키움,25+키P,우투
문성현,키움,24키P,우투
이명종,키움,24키P,우투
조영건,키움,25+키P,우투
박범준,키움,24+키P,우투
이강준,키움,25+키P,우투
오석주,키움,25+키P,우투
윤현,키움,25+키P,우투
김연주,키움,25+키P,우투
김서준,키움,25+키P,우투
김동규,키움,24+키P,우투
변시원,키움,23키P,우언
김선기,키움,25+키P,우투
전준표,키움,25+키P,우투
양현,키움,23+키P,우언
원종현,키움,25+키P,우언
김동혁,키움,24키P,우언
헤이수스,키움,24+키P,좌투
김재웅,키움,24키P,좌투
로젠버그,키움,25+키P,좌투
요키시,키움,23키P,좌투
김성민,키움,25+키P,좌투
정현우,키움,25+키P,좌투
윤정현,키움,24키P,좌투
이승호,키움,23키P,좌투
맥키니,키움,23키P,좌투
이영준,키움,23키P,좌투
손현기,키움,25+키P,좌투
이종민,키움,24+키P,좌투
윤석원,키움,25+키P,좌투
네일,KIA,25+KP,우투
정해영,KIA,25+KP,우투
전상현,KIA,25+KP,우투
장현식,KIA,24+KP,우투
김도현,KIA,25+KP,우투
황동하,KIA,25+KP,우투
임기영,KIA,25+KP,우언
앤더슨,KIA,23KP,우투
크로우,KIA,24KP,우투
올러,KIA,25+KP,우투
조상우,KIA,25+KP,우투
김승현,KIA,24+KP,우투
산체스,KIA,23KP,우투
유승철,KIA,25+KP,우투
메디나,KIA,23KP,우투
박준표,KIA,24+KP,우언
장재혁,KIA,24+KP,우투
김민재,KIA,25+KP,우투
김민주,KIA,24+KP,우투
김현수,KIA,24+KP,우투
윤중현,KIA,25+KP,우언
김건국,KIA,25+KP,우투
김재열,KIA,23+KP,우투
이형범,KIA,25+KP,우투
양현종,KIA,25+KP,좌투
윤영철,KIA,25+KP,좌투
이의리,KIA,24+KP,좌투
파노니,KIA,23KP,좌투
최지민,KIA,25+KP,좌투
알드레드,KIA,24KP,좌투
이준영,KIA,25+KP,좌투
곽도규,KIA,25+KP,좌투
라우어,KIA,24KP,좌투
스타우트,KIA,24KP,좌투
김사윤,KIA,24+KP,좌투
유지성,KIA,24+KP,좌투
김기훈,KIA,24+KP,좌투
김유신,KIA,23KP,좌투
김대유,KIA,25+KP,좌투
페디,NC,23NP,우투
신민혁,NC,25+NP,우투
류진욱,NC,25+NP,우투
이재학,NC,24+NP,우언
김재열,NC,25+NP,우투
김시훈,NC,25+NP,우투
송명기,NC,24NP,우투
한재승,NC,25+NP,우투
와이드너,NC,23삼P,우투
이용준,NC,24NP,우투
라일리,NC,25+NP,우투
김진호,NC,25+NP,우투
손주환,NC,25+NP,우투
배재환,NC,25+NP,우투
조민석,NC,23NP,우투
심창민,NC,23+NP,우언
최우석,NC,25+NP,우투
하준수,NC,23NP,우투
이우석,NC,23+NP,우투
김녹원,NC,25+NP,우투
임지민,NC,23NP,우투
이용찬,NC,25+NP,우투
임상현,NC,25+NP,우투
채원후,NC,24NP,우투
이준혁,NC,25+NP,우투
소이현,NC,24+NP,우투
신영우,NC,25+NP,우투
배민서,NC,23+NP,우언
김민규,NC,25+NP,우투
목지훈,NC,25+NP,우투
전루건,NC,24+NP,우투
이준호,NC,24NP,우투
김태경,NC,25+NP,우투
전사민,NC,25+NP,우투
하트,NC,24NP,좌투
김영규,NC,24+NP,좌투
카스타노,NC,24NP,좌투
태너,NC,23NP,좌투
구창모,NC,23NP,좌투
임정호,NC,24+NP,좌투
로건,NC,25+NP,좌투
최성영,NC,25+NP,좌투
하준영,NC,23NP,좌투
요키시,NC,24NP,좌투
박주현,NC,24+NP,좌투
서의태,NC,24+NP,좌투
정구범,NC,23NP,좌투
김태현,NC,25+NP,좌투
